0.02.676.071 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.682.636 W srv  llama_server: -----------------
0.02.682.640 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.02.682.643 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.02.682.643 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.02.682.643 W srv  llama_server: -----------------
0.02.697.931 I srv    load_model: loading model 'D:\models\gguf\Qwen3.5-9B-Q4_K_M.gguf'
0.17.062.108 I cmn          init: llama threadpool init, n_threads = 10
0.17.287.889 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 32768, kv_unified = 'true'
0.17.341.123 I srv  llama_server: model loaded
0.17.341.187 I srv  llama_server: listening on http://127.0.0.1:8080
0.17.341.189 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.17.341.191 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
4.09.097.705 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.09.098.075 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
4.11.578.081 I slot print_timing: id  3 | task 0 | prompt eval time =    1386.22 ms /  1624 tokens (    0.85 ms per token,  1171.53 tokens per second)
4.11.578.092 I slot print_timing: id  3 | task 0 |        eval time =    1093.65 ms /    41 tokens (   27.34 ms per token,    36.57 tokens per second)
4.11.578.094 I slot print_timing: id  3 | task 0 |       total time =    2479.87 ms /  1665 tokens
4.11.578.316 I slot print_timing: id  3 | task 0 |    graphs reused =         40
4.11.578.528 I slot      release: id  3 | task 0 | stop processing: n_tokens = 1664, truncated = 0
4.11.599.698 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 0.962
4.11.600.046 I slot launch_slot_: id  3 | task 45 | processing task, is_child = 0
4.13.146.562 I slot print_timing: id  3 | task 45 | prompt eval time =     125.30 ms /    30 tokens (    4.18 ms per token,   239.43 tokens per second)
4.13.146.805 I slot print_timing: id  3 | task 45 |        eval time =    1421.08 ms /    53 tokens (   27.33 ms per token,    36.59 tokens per second)
4.13.146.815 I slot print_timing: id  3 | task 45 |       total time =    1546.37 ms /    83 tokens
4.13.146.818 I slot print_timing: id  3 | task 45 |    graphs reused =         91
4.13.146.910 I slot      release: id  3 | task 45 | stop processing: n_tokens = 1679, truncated = 0
4.13.175.359 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.985 (> 0.100 thold), f_keep = 0.953
4.13.175.557 I slot launch_slot_: id  3 | task 100 | processing task, is_child = 0
4.15.049.934 I slot print_timing: id  3 | task 100 | prompt eval time =     117.49 ms /    27 tokens (    4.35 ms per token,   229.80 tokens per second)
4.15.049.945 I slot print_timing: id  3 | task 100 |        eval time =    1756.77 ms /    66 tokens (   27.03 ms per token,    37.00 tokens per second)
4.15.049.946 I slot print_timing: id  3 | task 100 |       total time =    1874.26 ms /    93 tokens
4.15.049.947 I slot print_timing: id  3 | task 100 |    graphs reused =        155
4.15.050.018 I slot      release: id  3 | task 100 | stop processing: n_tokens = 1689, truncated = 0
4.15.068.912 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.947
4.15.069.174 I slot launch_slot_: id  3 | task 168 | processing task, is_child = 0
4.15.702.122 I slot print_timing: id  3 | task 168 | prompt eval time =     111.51 ms /    22 tokens (    5.07 ms per token,   197.29 tokens per second)
4.15.702.138 I slot print_timing: id  3 | task 168 |        eval time =     521.33 ms /    20 tokens (   27.44 ms per token,    36.45 tokens per second)
4.15.702.139 I slot print_timing: id  3 | task 168 |       total time =     632.84 ms /    42 tokens
4.15.702.141 I slot print_timing: id  3 | task 168 |    graphs reused =        173
4.15.702.220 I slot      release: id  3 | task 168 | stop processing: n_tokens = 1638, truncated = 0
4.15.730.188 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.978
4.15.730.498 I slot launch_slot_: id  3 | task 190 | processing task, is_child = 0
4.17.414.749 I slot print_timing: id  3 | task 190 | prompt eval time =     113.37 ms /    24 tokens (    4.72 ms per token,   211.69 tokens per second)
4.17.414.762 I slot print_timing: id  3 | task 190 |        eval time =    1570.62 ms /    58 tokens (   27.55 ms per token,    36.29 tokens per second)
4.17.414.763 I slot print_timing: id  3 | task 190 |       total time =    1684.00 ms /    82 tokens
4.17.414.764 I slot print_timing: id  3 | task 190 |    graphs reused =        229
4.17.414.855 I slot      release: id  3 | task 190 | stop processing: n_tokens = 1678, truncated = 0
4.17.450.384 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.989 (> 0.100 thold), f_keep = 0.955
4.17.450.599 I slot launch_slot_: id  3 | task 250 | processing task, is_child = 0
4.18.647.532 I slot print_timing: id  3 | task 250 | prompt eval time =     112.31 ms /    22 tokens (    5.10 ms per token,   195.89 tokens per second)
4.18.647.548 I slot print_timing: id  3 | task 250 |        eval time =    1084.50 ms /    40 tokens (   27.81 ms per token,    35.96 tokens per second)
4.18.647.549 I slot print_timing: id  3 | task 250 |       total time =    1196.81 ms /    62 tokens
4.18.647.551 I slot print_timing: id  3 | task 250 |    graphs reused =        267
4.18.647.658 I slot      release: id  3 | task 250 | stop processing: n_tokens = 1658, truncated = 0
